第四台,#genre#
民視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ftvhd_taiwan  
台視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ttv_taiwan  
中視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=zhongshihd_twn  
華視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ctshd_twn  
公視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ctv_taiwan  
大愛,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=daai_twn  
大愛2,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=catchplay_twn  
大愛,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8  
大愛2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8  
民視,rtmp://59.124.75.138/sat/tv051  
台視,rtmp://59.124.75.138/sat/tv071  
中視,rtmp://59.124.75.138/sat/tv091  
華視,rtmp://59.124.75.138/sat/tv111

新聞,#genre#
中視新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=zhongshinews_twn
中天新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ctinews
民視新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ftvnew_taiwan
台視新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ttvnews_twn
TVBS新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=tvbs_n
東森新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvnews
東森財經,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvcaijing_twn
寰宇新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=huanyuxinwen_twn
寰宇財經,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=huanyutaiwan_twn
年代新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=niandainews_twn
中視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中天新聞2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8
民視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
台視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
TVBS新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV82.m3u8
TVBS新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV83.m3u8
東森財經,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
寰宇新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
寰宇新聞2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV41.m3u8
寰宇財經,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV85.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
國會頻道,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV56.m3u8
立法院會議,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV57.m3u8

戲劇,#genre#
東森戲劇,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvdrama
八大戲劇,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=badadrama
三立戲劇,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=sanlixiju_twn
龍華戲劇,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=lunghuaxiju_twn
龍華偶像,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=lunghuaidol_twn
民視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV76.m3u8
華視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
八大戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV75.m3u8

電影,#genre#
東森電影,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvmovie
東森洋片,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvwestern
龍華電影,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=xingwei_movie
龍華洋片,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=lunghuawestern_twn
HBO HD,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=hbohd_twn
愛爾達影劇,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=eltayingju_twn
CINEMAX,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cinemax_twn

綜藝,#genre#
飢餓遊戲,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV81.m3u8
中視綜藝,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV34.m3u8
華視綜藝,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8

體育,#genre#
愛爾達體育1,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=eltasport_twn
愛爾達體育2,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=eltasport2_twn
愛爾達體育3,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=eltasport3_twn
博斯網球,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=bositennis_twn
博斯運動1,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=bosisport1_twn
博斯運動2,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=bosisport2_twn
博斯高球1,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=bosigolf1_twn
博斯高球2,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=bosigolf2_twn
ELEVEN體育1,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=golfchannel_twn
緯來體育,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=videolandsport
ELEVEN體育1,rtmp://59.124.75.138/sat/tv731
ELEVEN體育2,rtmp://59.124.75.138/sat/tv741
緯來體育,rtmp://59.124.75.138/sat/tv721

紀實,#genre#
亞洲旅遊,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=asiatravel_twn
大陸尋奇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV71.m3u8
MIT台灣誌,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV42.m3u8

卡通,#genre#
東森幼幼,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=yoyo_twn
東森幼幼,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV63.m3u8
小豬佩奇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV64.m3u8

其他,#genre#
民視第一,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=lunghuajingdian_twn
民視台灣,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ftvtaiwan_twn
中視經典,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=zhongshi_twn
中天綜合,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ctizhonghe
中天娛樂,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ctient
東森綜合,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvzhonghe
TVBS歡樂,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=tvbshuanle_twn
三立綜合,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=sanlizhonghe
八大綜合,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=badazhonghe
八大第一,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=badafirst
靖天國際,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=jingtianintl_twn
緯來日本,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=videolandjapan
龍華經典,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=lunghuajingdian_twn
緯來育樂,rtmp://59.124.75.138/sat/tv701
緯來日本,rtmp://59.124.75.138/sat/tv771
MOMO綜合,rtmp://59.124.75.138/sat/tv761

央視,#genre#
CCTV1,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv1
CCTV2,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv2
CCTV3,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv3
CCTV4,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv4
CCTV5,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv5
CCTV5+,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv5plus
CCTV6,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv6
CCTV7,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv7
CCTV8,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv8hd
