新聞,#genre#
中視新聞,https://youtu.be/TCnaIE_SAtM
中天新聞,https://youtu.be/vr3XyVCR4T0
中天2台,https://youtu.be/DM_PEM8GrIg
華視新聞,https://youtu.be/wM0g8EoUZ_E
民視新聞,https://youtu.be/ylYJSBUgaMA
台視新聞,https://youtu.be/xL0ch83RAK8
東森新聞,https://youtu.be/V1p33hqPrUk
東森財經新聞,https://youtu.be/1I2iq41Akmo
TVBS新聞,https://youtu.be/m_dhMSvUCIc
三立新聞,https://youtu.be/MV9mI0GChwo
三立iNews,https://youtu.be/pF507BLtbqU
公視新聞,https://youtu.be/quwqlazU-c8
寰宇新聞,https://youtu.be/6IquAgfvYmc
寰宇財經新聞,https://youtu.be/WTRQiVWK1jY
鏡新聞,https://youtu.be/5n0y6b0Q25o

戲劇,#genre#
新兵日記,https://youtu.be/032kEdR9Lic
廉政英雄,https://youtu.be/b35xJXmJ-8I
藍色水玲瓏,https://youtu.be/rTcTVZBZtYs
我的老師叫小賀,https://youtu.be/6CQZxYpW9q4
知否知否應是綠肥紅瘦,https://youtu.be/hcxLMIfxi0A
惡作劇之吻,https://youtu.be/-aDlLRZvmus
步步驚心,https://youtu.be/nG73CyRTZpo
包青天,https://youtu.be/m7I88BUTj0s
瓊瑤系列,https://youtu.be/ubJVuSObu4w
梅花烙,https://youtu.be/jkF7cseHZ5s
長歌行,https://youtu.be/I7yYOp7Tqdw
光芒,https://youtu.be/Ul9z5eUphFY
神鵰俠侶,https://youtu.be/Vu_eDZF3PXU
謝謝你醫生,https://youtu.be/jUZ4_yK0dI8
去有風的地方,https://youtu.be/RfG8nrYdfeo
八零九零,https://youtu.be/s7vS7ChCdh6s
世間情,https://youtu.be/zluYU6_z9vk
微笑pasta,https://youtu.be/F1jOmtdW1wA
王子變青蛙,https://youtu.be/zd0g55J4v1g
終極四大時空,https://youtu.be/b12Co6j98bk
經典戲劇,https://youtu.be/qGU7fT1y8qE
流氓教授,https://youtu.be/gX_AgtC2Shs
神機妙算劉伯溫,https://youtu.be/9GZNsvhmPXo
濟公,https://youtu.be/tPW5UnM9JWI

綜藝,#genre#
天才衝衝衝,https://youtu.be/UsZi0jxZHZ8
萬秀珠王,https://youtu.be/ADDSmXoPDY8
綜藝大熱門,https://youtu.be/cpsP1wd-HgM
飢餓遊戲,https://youtu.be/fPQpWDmfMso
豬哥會社,https://youtu.be/0aBJU1mFpsk

兒童,#genre#
我們這一家,https://youtu.be/DHSqV_1NLio
哆啦A夢,https://youtu.be/dgAEF2ppKg8
蠟筆小新,https://youtu.be/T0J79UaCTAs

動漫,#genre#
中華一番,https://youtu.be/JemHjZa_VEU
進擊的巨人,https://youtu.be/g4zpC0WfNx4
BanG Dream! It's MyGO!!!!!,https://youtu.be/Rn-DA4wS2zA
Re：從零開始的異世界生活,https://youtu.be/Ne8BQZBOqXU
獵人,https://youtu.be/Z4QKk1mST-4
關於我轉生變成史萊姆這檔事,https://youtu.be/ox-HVZmrRk4

音樂,#genre#
音樂盒,https://youtu.be/H2FB2Xwn63s
抖音熱曲,https://youtu.be/6hX1RSp4n2c
Lofi Girl,https://youtu.be/jfKfPfyJRdk
